Scientific name,Deutscher Name,Criteria,CAT,VBGF,Bemerkungen
Abramis bjoerkna,Blicke,"B1,B1a,B2,B2a",NT,4,Artenkenntnisse? Wird oft übersehen
Abramis brama,Brachsen,,LC,NG,
Acipenser naccarii,Mittelmeer-Stör,,RE,0/E,
Acipenser sturio,Stör,,RE,0/E,
Alburnoides bipunctatus,Schneider,A2c,VU,3/E,Gefährdung wegen Habitatdefiziten (Fliessstrecken)
Alburnus alburnus,Laube,,LC,NG,
Alburnus alburnus alborella,Alborella,"A2b,B1,B1a,B1bi,B1bii,B1biv,B2,B2a,B2bi,",EN,2/E,
Alosa agone,Agone,"B1,B1a,B2,B2a,D2",VU,3/E,
Alosa alosa,Maifisch,,RE,0/E,
Alosa fallax,Cheppia,,RE,0/E,
Anguilla anguilla,Aal,,VU,3,starke Abnahme der Fänge und Gefährdung auf europäischem Niveau (Abwärtswanderung)
Barbatula barbatula,Bartgrundel,,LC,NG,
Barbus barbus,Barbe,,NT,4,Habitatqualität grosse Fliessgewässer
Barbus caninus,Hundsbarbe,"A2b,B1,B2",VU,3/E,"DD, wenig Kenntnisse (vgl. B. plebejus)"
Barbus plebejus,Südbarbe,"A2b,B1,B1a,B2,B2a",VU,3/E,DD (wahrsch. häufiger als gem. Datenbank)
Chondrostoma nasus,Nase,"A2b,B1,B1bi,B1ciii,B2,B2bi,B2ciii",CR,1/E,3/4 der Populationen nur noch Einzeltiere
Chondrostoma soetta,Savetta,"A2c,B1,B1a,B1bi,B1bii,B1biv,B1ci,B2,B2a,",CR,1/E,
Chondrostoma toxostoma,Sofie,"A2c,B1,B1a,B1bi,B1ci,B2,B2a,B2bi,B2ci,C2ai,",CR,1/E,
Cobitis taenia,Dorngrundel,"A2c,B1,B1bi,B1ci,B2,B2bi,B2ci",VU,3/E,"Ausdehnung des Verbreitungsgebietes, wenig Kenntnisse"
Coregonus sp.,Felchen,"B1,B1ciii,B2ciii",NT,4/E,Bewirtschaftung und Lokalpopulationen beachten
Cottus gobio,Groppe,,NT,4,Aufstiegshindernisse behindern Wanderungen
Cyprinus carpio,Karpfen,,VU,3,"DD, Wildform selten (ev. Hybridisierungen Kriterium A2e zusätzlich)"
Esox lucius,Hecht,,LC,NG,
Gasterosteus aculeatus,Stichling,"B1a,B2a",NT,4,
Gobio gobio,Gründling,,LC,NG,
Gymnocephalus cernuus,Kaulbarsch,"B1,B1a,B2,B2a",LC,NG,Ausdehnung von Verbreitungsgebiet und Zunahme Häufigkeit
Hucho hucho,Huchen,,RE,0/E,
Lampetra fluviatilis,Flussneunauge,,RE,0/E,
Lampetra planeri,Bachneunauge,"B1,B2",EN,2/E,"Scheinbar zunehmend (tatsächliche Erholung oder bessere Erfassung?), im 19.Jh. flächendeckend im Mittelland"
Leucaspius delineatus,Moderlieschen,"B1,B1a,B2,B2a",NT,4/E,Artenkenntnisse? Wird oft übersehen. In vielen Privatbiotopen?
Leuciscus cephalus,Alet,,LC,NG,
Leuciscus leuciscus,Hasel,,LC,NG,
Leuciscus souffia agassii,Strömer,"B1,B1a,B2,B2a",VU,3/E,Habitatdefizite
Leuciscus souffia muticellus,Strigione,"B1,B2",VU,3/E,Habitatdefizite
Lota lota,Trüsche,,LC,NG,
Misgurnus fossilis,Moorgrundel,"A2b, A2c,B1,B2,B2a,C2ai,C2aii,D2",CR,1/E,
Padogobius bonelli,Ghiozzo,"A2b,B1,B1a,B2,B2a,D2",EN,2/E,
Perca fluviatilis,Egli / Flussbarsch,,LC,NG,
Phoxinus phoxinus,Elritze,,LC,NG,
Rhodeus amarus,Bitterling,"B1,B1a,B2,B2a",EN,2/E,Gefährdung wegen Rückgang Grossmuscheln
Rutilus pigus,Pigo,"A2c,B1,B1a,B1bi,B1bii,B1biv,B1ci,B2,B2a, B2bi,B2bii,B2biv,B2ci,D2",VU,3/E,
Rutilus rubilio,Triotto,"A2b,A2c,B1,B1a,B1bi,B1bii,B1biv,B1ci,B2,B2a,B2bi,B2bii,B2biv,B2ci,D2",VU ,3/E,
Rutilus rutilus,Rotauge,,LC,NG,
Salaria fluviatilis,Cagnetta,"A2b,B1,B1a,B2,B2a",NT ,4/E,weiter verbreitet als gemäss Datenbank
Salmo salar,Atlantischer Lachs,,RE,0/E,
Salmo trutta fario,Bachforelle,,NT ,4,"Habitatdefizite, Besatzproblematik, Hybridisierung von Lokalpopulationen"
Salmo trutta lacustris,Seeforelle,,EN ,2,"Habitatdefizite, Wanderhindernisse, häufiger dank Besatz"
Salmo trutta marmoratus,Marmorierte Forelle,"B2, B2a, C2ai",CR,1,
Salmo trutta trutta,Meerforelle,,RE,0,
Salvelinus alpinus,Seesaibling,"B1a,B2a",VU,3,Bewirtschaftung und Lokalpopulationen beachten
Scardinius erythrophthalmus,Rotfeder,,LC,NG,
Silurus glanis,Wels,"A2b,B1,B2",NT ,4/E,"kleines Verbreitungsgebiet, Vorkommen werden unterschätzt, z.T. Bestandeszunahmen"
Thymallus thymallus,Äsche,A2c,VU,3/E,"Habitatdefizite, Vorkommen und Häufigkeit dank Besatzmassnahmen"
Tinca tinca,Schleie,,LC,NG,
