"Schenk, Karl",11541
"Deucher, Adolf",10683
"Motta, Giuseppe",10267
"Naeff, Wilhelm Matthias",9906
"Etter, Philipp",9409
"Welti, Emil",9154
"Müller, Eduard",8850
"Schulthess, Edmund",8307
"Knüsel , Melchior Josef Martin",7475
"Frey-Herosé, Friedrich",6619
"Droz, Numa",6223
"Petitpierre, Max",6042
"Zemp, Joseph",6026
"Pilet-Golaz, Marcel",5862
"Leuenberger, Moritz",5513
"Furgler, Kurt",5502
"Hammer, Bernhard",5500
"Forrer, Ludwig",5499
"Villiger, Kaspar",5446
"Musy, Jean-Marie",5254
"Delamuraz, Jean-Pascal",5228
"Häberlin, Heinrich",5191
"Gnägi, Rudolf",5136
"Kobelt , Karl",5134
"Tschudi, Hans-Peter",5128
"Brenner, Ernst",5098
"Hauser, Walter",5060
"Ogi , Adolf",4771
"Furrer, Jonas",4634
"Ruchet, Marc-Emile",4594
"Ruchonnet , Antoine Louis John",4578
"Leuthard, Doris",4554
"Koller, Arnold",4524
"Cotti , Flavio",4524
"Fornerod, Constant",4495
"Comtesse , Robert",4463
"Haab, Robert",4401
"Chaudet, Paul",4398
"von Moos, Ludwig",4397
"Stich, Otto",4346
"Couchepin, Pascal",4252
"Bonvin, Roger",4113
"von Steiger, Eduard",4038
"Minger, Rudolf",4037
"Dubs, Jakob",3955
"Celio, Enrico",3888
"Spühler, Willy",3698
"Chevallaz, Georges-André",3678
"Aubert, Pierre",3676
"Maurer, Ueli",3644
"Scheurer, Karl",3626
"Ritschard, Willi",3602
"Dreifuss, Ruth",3583
"Hertenstein, Wilhelm",3539
"Calmy-Rey, Micheline",3314
"Hürlimann, Hans",3313
"Stämpfli, Jakob",3312
"Chuard, Ernest",3308
"Meyer, Albert",3306
"Franscini, Stefano",3167
"Schaffner, Hans",3121
"Challet-Venel, Jean-Jacques",3094
"Sommaruga, Simonetta",2993
"Schneider-Ammann, Johann N.",2993
"Brugger, Ernst",2974
"Graber, Pierre",2974
"Burkhalter, Didier",2967
"Schlumpf , Leon",2948
"Schmid, Samuel",2947
"Widmer-Schlumpf, Eveline",2941
"Nobs, Ernst",2938
"Decoppet, Camille",2723
"Stampfli, Walther",2722
"Deiss, Joseph",2699
"Wahlen, Friedrich Traugott",2577
"Rubattel, Rodolphe",2577
"Celio, Nello",2574
"Lachenal, Adrien",2572
"Berset, Alain",2545
"Feldmann, Markus",2517
"Merz, Hans-Rudolf",2517
"Baumann, Johannes",2476
"Calonder, Felix-Louis",2393
"Pioda, Giovanni Battista",2371
"Scherer, Johann Jakob",2355
"Druey, Daniel-Henri",2324
"Frey, Emil",2302
"Munzinger, Martin J.",2273
"Hoffmann, Arthur",2268
"Ochsenbein, Ulrich",2236
"Streuli, Hans",2200
"Ceresole, Paul",2159
"Ruffy, Eugène",2147
"Obrecht, Hermann",1945
"Felber, René",1939
"Honegger, Fritz",1850
"Wetter, Ernst",1842
"Anderwert , Fridolin",1842
"Holenstein, Thomas",1841
"Lepori, Giuseppe",1841
"Metzler-Arnold, Ruth",1756
"Kopp, Elisabeth",1563
"Escher, Josef",1547
"Bavier , Simeon",1487
"Egli, Alphons",1484
"Blocher, Christoph",1482
"Schobinger, Josef Anton",1258
"Borel, Eugène",1119
"Heer, Joachim",1117
"Parmelin, Guy",1089
"Bourgknecht, Jean",1018
"Ador, Gustave",918
"Weber, Max",780
"Ruffy, Victor",754
"Friedrich, Rudolf",682
"Cassis, Ignazio",438
"Perrier, Louis",430
