From,To,Strength
1000738565452681216,1000738565452681216,35
1002663290,492607392,4
1020575708895211520,1021773684015620096,7
1020575708895211520,2306291760,12
1020577676837441537,1021773684015620096,7
1020577676837441537,2306291760,12
1020638001334976513,1021773684015620096,7
1020638001334976513,2306291760,12
1022581658,492607392,4
1027903065943404544,624668875,3
1060216226893434880,2955404464,3
1060392348553826304,2651205816,3
1062754270729158656,14095644,3
1064291875291570177,4777012343,4
109004078,14591071,7
111436476,20689135,3
111436476,24938614,3
111436476,33047609,4
113033208,14591071,7
113050080,14591071,8
1159750206,430183964,3
1165537094,438767655,14
123612939,96948912,3
12392362,14273050,12
12392362,202985146,7
12392362,206630486,3
128222457,14770715,100
13344262,1544084768,4
13344262,17870970,5
13344262,215557634,4
13344262,2420636070,4
13344262,260732660,4
13344262,2841118787,3
13344262,335181321,4
13344262,857216209988792320,3
13344262,943580453268844544,4
13344262,983671876126945281,5
138083232,804596291250569216,3
1387968151,10228272,5
14077609,1709973019,3
14273050,14273050,19
14273050,1449373734,13
14273050,292327970,3
14273050,301413295,17
14273050,408548113,53
14273050,92360681,8
1449373734,14273050,5
1449373734,25254764,5
1449373734,377432459,5
1449373734,778497337,5
145957031,506349796,3
1550547547,4695031999,14
155523596,3352433428,4
1578125996,4695031999,14
163785653,251186081,3
163785653,3163938257,3
164184258,408548113,9
164184258,5912372,3
168710245,14273050,5
1745539134,438767655,5
175146462,537114100,3
182821543,85299581,4
18292592,804596291250569216,3
1897170068,183651742,5
190626981,1612844172,3
20095584,1107268454,3
202985146,5912372,4
20689135,24938614,5
20689135,33047609,12
217034168,804596291250569216,3
2255302334,172375021,4
2255302334,2380493820,3
2255302334,72560162,3
225875696,225875696,6
2266503733,400481969,3
2266503733,76653252,4
2303451512,1000738565452681216,3
2306914782,941887106397429762,3
2331768961,14245896,4
236309486,624668875,3
236309486,804596291250569216,6
246721155,251186081,7
246721155,266794106,5
24938614,33047609,9
252418471,20674226,6
252418471,599870448,6
25254764,14273050,5
25254764,1449373734,5
25254764,377432459,10
25254764,778497337,5
2572556132,301413295,3
25812913,16200044,4
25812913,67698245,3
25812913,783055346541686788,4
2584393508,492607392,4
259232598,96948912,3
2601323054,506349796,4
26777021,12392362,3
275112201,757293523,4
2905278124,255226431,3
2910644884,804596291250569216,4
292327970,14273050,3
2927827333,33047609,4
2956936937,387042539,3
301413295,14273050,12
3023480746,430183964,3
3096451480,1000738565452681216,3
3123623474,14245896,3
3135113487,206630486,5
3289108752,861597623517663232,4
329556541,33047609,3
33047609,24938614,6
33047609,2946129982,7
33047609,789605024,4
3314634431,2191409085,5
3363869463,378070769,4
3363869463,737758968626458626,4
3395777655,743024249141637120,3
3407698420,96948912,3
3414086001,747004928221118464,3
342631350,1449373734,7
342631350,408548113,6
342631350,92360681,3
351496811,96948912,4
364384953,14273050,3
366175274,96948912,4
367682868,23046389,4
367682868,438767655,4
37391313,4695031999,3
3801795495,202985146,3
399370075,373944734,7
408548113,14273050,34
42252696,312854504,8
425075648,1653282278,3
429674948,438767655,6
437588125,206630486,4
4695031999,712056426177421313,4
46988913,924334824,4
472834631,96948912,3
479445216,14273050,3
4869675245,1000738565452681216,3
488830152,180475987,4
488830152,189662629,4
488830152,842808457745121281,4
488830152,90152392,4
492607392,1002663290,3
492607392,492607392,8
492607392,87774000,5
495880776,408548113,3
50645038,14273050,3
52680265,438767655,10
537114100,175146462,3
540087657,3760626981,6
55343681,1709973019,3
55343681,804596291250569216,5
55522036,33047609,3
561916773,923992110767968256,4
605495577,1735084123,4
605495577,339803096,3
620197067,206630486,7
624668875,804596291250569216,6
70380613,869467382279962624,3
708622213780480000,1000738565452681216,20
708622213780480000,998308467852095488,5
712056426177421313,4695031999,3
717784448,33047609,4
720352675,109312021,3
720352675,115123104,3
720352675,120127817,3
720352675,124450567,3
720352675,180720589,3
720352675,186386857,3
720352675,206249234,3
720352675,21389998,3
720352675,22910295,3
720352675,296756458,3
720352675,2991724937,3
720352675,33047609,3
720352675,454873450,3
720352675,46862437,3
720352675,64680554,3
720352675,728031373,3
720352675,91402003,3
72072706,4695031999,3
722576059,12392362,5
724288337012387840,39528842,3
748570964439490560,18527723,4
756536297364320256,14273050,3
757293523,251186081,4
764176997090267136,356227170,4
765272280024965120,24938614,3
765272280024965120,33047609,3
765272280024965120,765272280024965120,3
76653252,2266503733,3
76653252,400481969,6
76653252,76653252,6
767675409336897536,1095223194,3
775904053,928716555306917895,4
778497337,377432459,5
788101550711382017,356849992,4
800967760989880321,14273050,3
808278027717251072,377432459,3
819652946,96948912,4
830746618450309120,39084495,3
833715346506993664,202806809,3
852545804011175937,76653252,3
862658023,76653252,7
864595786356621312,14591071,7
86624549,33047609,3
875637231112683522,4695031999,9
879424110283165696,24938614,3
879424110283165696,33047609,5
888095166539739137,96948912,4
891462473404096512,2738012154,5
92360681,14273050,26
92360681,1449373734,5
92360681,277466640,4
92360681,408548113,6
955549819233341441,10228272,6
969830888807849984,924334824,3
972470072412463106,430183964,3
975754740272418821,975754740272418821,3
976184926725984266,14273050,6
977139628313600002,974636608006819842,3
978267947255914496,1021773684015620096,5
978267947255914496,2306291760,11
978641355206479872,1021773684015620096,7
978641355206479872,2306291760,11
996033962878251008,4695031999,4
998263883088515072,469549703,3
998263883088515072,630653641,3
998308467852095488,998308467852095488,4
